"iddes","langid","label"
-1,"ar","Guest"
0,"ar","Intranet"
1,"ar","All"
2,"ar","Sample group"
-1,"de","Gast"
0,"de","Intranet"
1,"de","Alle"
2,"de","Beispielgruppe"
-1,"nl","Gast"
0,"nl","Intranet"
1,"nl","Iedereen"
2,"nl","Voorbeeldgroep"
-1,"no","Gjest"
0,"no","Intranett"
1,"no","Alle"
2,"no","Eksempelgruppe"
-1,"pt","Convidado"
0,"pt","Intranet"
1,"pt","Todos"
2,"pt","Grupo de Amostra"
-1,"ru","Guest"
0,"ru","Пример группы"
1,"ru","Все"
2,"ru","Пример группы"
