"id","name","isocode","isinspire","isdefault"
"de","Deutsch","ger","y","n"
"ru","Russian","rus","n","n"
"pt","Português","por","y","n"
"nl","Nederlands","dut","y","n"
"no","Norwegian","nor","n","n"
"ar","Arabic","ara","n","n"
