"id","name","isocode","isinspire","isdefault"
"ara","العربية","ara","n","n"
"cat","Català","cat","n","n"
"chi","中文","chi","n","n"
"dut","Nederlands","dut","y","n"
"eng","English","eng","y","y"
"fin","Suomi","fin","y","n"
"fre","Français","fre","y","n"
"ger","Deutsch","ger","y","n"
"nor","Norsk","nor","n","n"
"por","Português","por","y","n"
"rus","русский язык","rus","n","n"
"spa","Español","spa","y","n"
"vie","Tiếng Việt","vie","n","n"

